Rank,Root Domain,Linking Root Domains,Domain Authority
190,pl.wikipedia.org,"145,537",93
191,imageshack.us,"818,704",93
192,tiktok.com,"358,626",93
193,lefigaro.fr,"218,506",93
194,skype.com,"443,388",93
195,target.com,"281,388",93
196,zdf.de,"131,219",93
197,mit.edu,"678,71",93
198,welt.de,"240,007",93
199,interia.pl,"154,537",93
200,disney.com,"245,259",93
201,picasa.google.com,"257,063",93
202,eventbrite.com,"630,428",93
203,sciencedirect.com,"586,021",93
204,wikihow.com,"537,515",93
205,stanford.edu,"615,184",93
206,themeforest.net,"525,713",93
207,engadget.com,"441,623",93
208,leparisien.fr,"130,367",93
209,canada.ca,"245,807",93
210,netflix.com,"332,79",93
211,twitch.tv,"442,558",93
212,aol.com,"696,651",93
213,storage.googleapis.com,"733,755",93
214,nbcnews.com,"670,399",93
215,academia.edu,"366,271",93
216,express.co.uk,"329,939",93
217,ja.wikipedia.org,"352,555",93
218,sapo.pt,"229,836",93
219,vice.com,"388,751",93
220,php.net,"648,444",93
221,disqus.com,"922,173",93
222,surveymonkey.com,"441,923",93
223,news.com.au,"303,647",93
224,privacyshield.gov,"435,797",93
225,urbandictionary.com,"253,2",93
226,smh.com.au,"306,508",93
227,repubblica.it,"199,247",93
228,naver.com,"495,06",93
229,newyorker.com,"412,724",93
230,wiley.com,"579,088",93
231,nationalgeographic.com,"626,514",93
232,abcnews.go.com,"567,027",93
233,ftc.gov,"258,642",93
234,nginx.com,"562,113",93
235,bild.de,"167,619",93
236,rapidshare.com,"290,619",93
237,cbc.ca,"461,432",93
238,spotify.com,"1,418,776",93
239,it.wikipedia.org,"331,12",93
240,biglobe.ne.jp,"234,956",93
241,ggpht.com,"728,162",93
242,hollywoodreporter.com,"271,376",93
243,yandex.ru,"998,485",93
244,xbox.com,"182,248",93
245,dw.com,"346,595",93
246,discord.gg,"279,131",93
247,clickbank.net,"476,359",93
248,plos.org,"280,836",93
249,search.yahoo.com,"464,961",93
250,icann.org,"610,132",93
251,dreamstime.com,"338,803",93
252,yelp.com,"913,205",93
253,google.nl,"248,209",93
254,berkeley.edu,"471,142",93
255,ziddu.com,"188,109",93
256,google.co.in,"270,017",93
257,bp2.blogger.com,"551,052",93
258,doubleclick.net,"612,394",93
259,amazon.it,"151,505",93
260,gmail.com,"213,109",93
261,abc.net.au,"400,304",93
262,mashable.com,"424,519",93
263,pexels.com,"297,492",93
264,finance.yahoo.com,"457,321",93
265,calendar.google.com,"178,329",93
266,sciencedaily.com,"351,573",93
267,insider.com,"284,007",93
268,cbsnews.com,"528,511",93
269,www.wix.com,"719,215",93
270,sputniknews.com,"178,16",93
271,gnu.org,"582,668",93
272,discord.com,"308,943",93
273,afternic.com,"2,579,850",93
274,francetvinfo.fr,"156,221",93
275,e-monsite.com,"145,417",93
276,ria.ru,"182,093",93
277,lavanguardia.com,"142,859",93
278,guardian.co.uk,"616,398",93
279,nydailynews.com,"379,017",93
280,walmart.com,"324,365",93
281,slate.com,"380,664",93
282,thetimes.co.uk,"390,481",93
283,doi.org,"463,331",93
284,bp1.blogger.com,"550,846",93
285,akamaihd.net,"543,206",93
286,theatlantic.com,"552,531",93
287,as.com,"132,84",93
288,goodreads.com,"880,922",93
289,addtoany.com,"736,909",93
290,nginx.org,"651,013",93
291,whitehouse.gov,"383,961",93
292,washington.edu,"357,558",93
293,feedproxy.google.com,"779,059",93
294,code.google.com,"329,801",93
295,samsung.com,"366,36",93
296,espn.com,"378,894",93
297,ru.wikipedia.org,"372,588",93
298,photobucket.com,"1,729,038",93
299,akamaized.net,"244,589",93
300,bandcamp.com,"595,792",93
301,clarin.com,"138,842",93
302,www.over-blog.com,"818,414",93
303,m.wikipedia.org,"304,658",93
304,lycos.com,"683,545",93
305,qq.com,"4,200,233",93
306,ikea.com,"340,256",93
307,addthis.com,"681,59",93
308,quora.com,"401,751",93
309,ea.com,"190,383",93
310,cambridge.org,"315,416",93
311,apache.org,"961,033",93
312,tripadvisor.com,"636,287",93
313,adssettings.google.com,"370,429",93
314,oracle.com,"570,177",93
315,hm.com,"184,89",93
316,20minutos.es,"165,217",93
317,springer.com,"456,236",93
318,nikkei.com,"229,377",93
319,yadi.sk,"181,01",93
320,detik.com,"393,105",93
321,bing.com,"990,917",93
322,prezi.com,"310,836",93
323,t-online.de,"241,256",93
324,standard.co.uk,"226,483",93
325,metro.co.uk,"244,365",93
326,webmd.com,"680,709",93
327,liberation.fr,"124,457",93
328,tmz.com,"216,343",93
329,cornell.edu,"439,204",93
330,oup.com,"386,299",93
331,rtve.es,"182,916",93
332,gofundme.com,"340,124",93
333,ietf.org,"380,763",93
334,amzn.to,"889,126",93
335,ft.com,"459,609",93
336,alexa.com,"323,627",93
337,hp.com,"466,034",93
338,abc.es,"198,992",93
339,www.wikipedia.org,"532,419",93
340,cnil.fr,"205,775",93
341,rt.com,"294,518",93
342,gooyaabitemplates.com,"437,544",93
343,gizmodo.com,"401,784",93
344,secureserver.net,"1,013,169",93
345,shutterstock.com,"437,772",93
346,photos1.blogger.com,"866,883",93
347,sfgate.com,"374,09",93
348,cnbc.com,"523,86",93
349,ebay.com,"939,365",93
350,zendesk.com,"498,826",93
351,godaddy.com,"2,526,764",93
352,zoom.us,"586,432",93
353,freepik.com,"290,474",93
354,sendspace.com,"155,652",93
355,weibo.com,"1,428,834",93
356,instagram.com,"25,427,265",93
357,unesco.org,"317,285",93
358,techcrunch.com,"484,153",93
359,buzzfeed.com,"582,282",93
360,newsweek.com,"348,813",93
361,nypost.com,"381,742",93
362,ovh.net,"556,829",93
363,google.com.tw,"143,088",93
364,ign.com,"295,341",93
365,economist.com,"372,437",93
366,britannica.com,"444,774",93
